Name         , Code , Latitude , Longitude , Alt  , Dep , Overb , BB_Sens , SM_Sens   , Start_Date
Abuyama      , ABU  , 34.8635N , 135.5706E , 138  , 166 , 60    , STS-2   , TSM-1     , 1998/03/28
Akadomari    , ADM  , 37.9046N , 138.4303E , 276  , 35  , 35    , STS-2.5 , TSM-1     , 2002/03/14
Amamioshima  , AMM  , 28.1571N , 129.3001E , 12   , 58  , 43    , STS-1   , VSE-355G3 , 1999/03/20
Aogashima    , AOG  , 32.4508N , 139.7740E , 85   , 20  , 43    , STS-2   , VSE-355G3 , 2002/06/14
Ashio        , ASI  , 36.6342N , 139.4206E , 664  , 48  , 30    , STS-2   , VSE-355G3 , 2001/03/17
Choshi       , CHS  , 35.7055N , 140.8517E , 52   ,     ,       , STS-2   , VSE-355G  , 1996/06/20
Fujigawa     , FUJ  , 35.2307N , 138.4181E , 618  , 40  , 40    , STS-1   , VSE-355G3 , 1996/06/22
Fukue        , FUK  , 32.7177N , 128.7572E , 75   , 29  , 28    , STS-2.5 , VSE-355G3 , 1999/02/27
Gojome       , GJM  , 39.9555N , 140.1113E , 105  , 15  , 10    , STS-1   , VSE-355G3 , 1997/11/22
Hidaka       , HID  , 42.8208N , 142.4145E , 229  , 230 , 90    , STS-2   , VSE-355G3 , 2000/12/29
Hachijo      , HJO  , 33.1048N , 139.8024E , 87   , 35  , 44    , STS-2   , VSE-355G3 , 2002/02/08
Honkawane    , HKW  , 35.0965N , 138.1349E , 449  ,     ,       , STS-2   , VSE-311R  , 1996/09/14
Hirono       , HRO  , 37.2246N , 140.8777E , 615  , 46  , 24    , STS-2   , VSE-355G3 , 2000/05/20
Sapporo      , HSS  , 42.9672N , 141.2286E , 190  ,     , 25    , STS-1   , VSE-355G3 , 1996/09/14
Ishigaki     , IGK  , 24.4119N , 124.1789E , 78   , 47  , 23    , STS-2   , VSE-355G3 , 2000/05/18
Imakane      , IMG  , 42.3928N , 140.1406E , 50   , 28  , 15    , STS-2   , VSE-355G3 , 2000/03/10
Nakatsu      , INN  , 33.4701N , 131.3062E , 169  , 27  , 24    , STS-2.5 , VSE-355G3 , 2001/02/24
Tokushima    , ISI  , 34.0606N , 134.4554E , 27   , 64  , 14    , STS-2.5 , VSE-355G3 , 1996/03/09
Iwatsuki     , IWT  , 35.9290N , 139.7349E , 6    ,     ,       , STS-2   , VSE-311R  , 1996/06/20
Yamagata     , IYG  , 40.1217N , 141.5833E , 429  , 48  , 35    , STS-2   , VSE-355G3 , 2000/01/20
Izuhara      , IZH  , 34.1359N , 129.2066E , 386  , 48  , 25    , STS-2.5 , TSM-1     , 2001/02/17
Nakaizu      , JIZ  , 34.9167N , 138.9938E , 263  , 42  , 35    , STS-2.5 , TSM-1     , 1995/03/17
Kofu         , KFU  , 35.7426N , 138.5658E , 590  ,     ,       , STS-2   , VSE-311R  , 1996/06/20
Kunigami     , KGM  , 26.7567N , 128.2153E , 104  , 46  , 30    , STS-2   , VSE-355G3 , 2000/02/25
